date,district_id,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-07-13,306,-21.285714285714285,-11.571428571428571,101.57142857142857,-42.57142857142857,-44.285714285714285,13.142857142857142
2020-07-13,307,-38.285714285714285,-16.285714285714285,92.0,-50.714285714285715,-50.0,17.428571428571427
2020-07-13,308,-73.85714285714286,-43.0,-32.142857142857146,-70.71428571428571,-50.857142857142854,16.714285714285715
2020-07-20,276,-84.42857142857143,-65.28571428571429,-57.285714285714285,-72.71428571428571,-67.8,
2020-07-20,277,-25.285714285714285,-11.428571428571429,94.14285714285714,-34.857142857142854,-37.42857142857143,10.714285714285714
2020-07-20,278,-26.714285714285715,-14.285714285714286,107.71428571428571,-44.42857142857143,-44.857142857142854,14.428571428571429
2020-07-20,279,-29.285714285714285,-12.0,78.14285714285714,-42.714285714285715,-40.142857142857146,13.428571428571429
2020-07-20,280,-29.285714285714285,-11.428571428571429,124.42857142857143,-41.0,-40.857142857142854,13.0
2020-07-20,281,-28.285714285714285,-14.142857142857142,61.42857142857143,-46.0,-46.42857142857143,15.142857142857142
2020-07-20,282,-68.28571428571429,-40.857142857142854,22.857142857142858,-67.28571428571429,-53.857142857142854,17.571428571428573
2020-07-20,283,-30.714285714285715,-12.857142857142858,101.57142857142857,-46.57142857142857,-41.714285714285715,14.142857142857142
2020-07-20,284,-25.0,-13.142857142857142,101.0,-47.857142857142854,-42.714285714285715,13.714285714285714
2020-07-20,285,-25.428571428571427,-13.571428571428571,69.85714285714286,-39.142857142857146,-38.714285714285715,12.0
2020-07-20,286,-33.0,-11.0,49.285714285714285,-41.857142857142854,-44.57142857142857,14.857142857142858
2020-07-20,287,-43.57142857142857,-11.571428571428571,86.42857142857143,-50.0,-46.57142857142857,15.142857142857142
